ds,y
2011-04-18,3307
2011-04-19,3107
2011-04-20,3144
2011-04-21,2824
2011-04-22,2431
2011-04-23,1970
2011-04-24,1903
2011-04-25,2632
2011-04-26,3196
2011-04-27,3078
2011-04-28,3822
2011-04-29,3148
2011-04-30,1968
2011-05-01,2101
2011-05-02,2853
2011-05-03,2737
2011-05-04,2721
2011-05-05,2600
2011-05-06,2368
2011-05-07,1710
2011-05-08,1800
2011-05-09,2860
2011-05-10,2960
2011-05-11,2754
2011-05-12,2502
2011-05-13,2359
2011-05-14,1549
2011-05-15,1809
2011-05-16,2678
2011-05-17,2622
2011-05-18,2774
2011-05-19,2771
2011-05-20,2719
2011-05-21,2348
2011-05-22,2021
2011-05-23,2814
2011-05-24,2759
2011-05-25,2628
2011-05-26,2482
2011-05-27,2215
2011-05-28,2143
2011-05-29,1827
2011-05-30,2268
2011-05-31,5186
2011-06-01,5495
2011-06-02,3198
2011-06-03,2376
2011-06-04,2576
2011-06-05,4173
2011-06-06,3770
2011-06-07,3389
2011-06-08,2827
2011-06-09,2487
2011-06-10,2213
2011-06-11,1526
2011-06-12,1668
2011-06-13,2885
2011-06-14,2155
2011-06-15,2957
2011-06-16,2432
2011-06-17,2254
2011-06-18,1620
2011-06-19,1863
2011-06-20,2854
2011-06-21,3755
2011-06-22,3137
2011-06-23,3003
2011-06-24,2314
2011-06-25,1814
2011-06-26,1849
2011-06-27,2721
2011-06-28,2762
2011-06-29,2642
2011-06-30,2705
2011-07-01,2390
2011-07-02,1735
2011-07-03,1777
2011-07-04,2117
2011-07-05,2602
2011-07-06,2711
2011-07-07,2717
2011-07-08,2497
2011-07-09,1592
2011-07-10,1807
2011-07-11,2409
2011-07-12,2736
2011-07-13,2362
2011-07-14,2474
2011-07-15,2201
2011-07-16,1661
2011-07-17,1715
2011-07-18,2853
2011-07-19,2675
2011-07-20,2894
2011-07-21,2632
2011-07-22,2398
2011-07-23,1952
2011-07-24,1705
2011-07-25,2711
2011-07-26,3137
2011-07-27,2944
2011-07-28,2734
2011-07-29,2680
2011-07-30,1962
2011-07-31,2178
2011-08-01,2783
2011-08-02,2910
2011-08-03,2976
2011-08-04,2932
2011-08-05,2609
2011-08-06,1919
2011-08-07,2188
2011-08-08,3050
2011-08-09,3084
2011-08-10,3337
2011-08-11,2989
2011-08-12,2760
2011-08-13,2085
2011-08-14,2178
2011-08-15,2970
2011-08-16,3165
2011-08-17,3024
2011-08-18,2670
2011-08-19,3021
2011-08-20,2288
2011-08-21,2384
2011-08-22,3591
2011-08-23,3434
2011-08-24,3297
2011-08-25,3170
2011-08-26,2999
2011-08-27,2125
2011-08-28,2697
2011-08-29,3835
2011-08-30,3829
2011-08-31,3914
2011-09-01,3925
2011-09-02,0
2011-09-03,2528
2011-09-04,3004
2011-09-05,3645
2011-09-06,5553
2011-09-07,4450
2011-09-08,4445
2011-09-09,4544
2011-09-10,3299
2011-09-11,3747
2011-09-12,5250
2011-09-13,4747
2011-09-14,4724
2011-09-15,5259
2011-09-16,4880
2011-09-17,3996
2011-09-18,4644
2011-09-19,7607
2011-09-20,6832
2011-09-21,6122
2011-09-22,6899
2011-09-23,8209
2011-09-24,7058
2011-09-25,8411
2011-09-26,10740
2011-09-27,7269
2011-09-28,7724
2011-09-29,9015
2011-09-30,9046
2011-10-01,12909
2011-10-02,14688
2011-10-03,14719
2011-10-04,12438
2011-10-05,12021
2011-10-06,10263
2011-10-07,9969
2011-10-08,7797
2011-10-09,11038
2011-10-10,14956
2011-10-11,13747
2011-10-12,12285
2011-10-13,11900
2011-10-14,11777
2011-10-15,8760
2011-10-16,13189
2011-10-17,17977
2011-10-18,14219
2011-10-19,13078
2011-10-20,13031
2011-10-21,13371
2011-10-22,9627
2011-10-23,14724
2011-10-24,20503
2011-10-25,16881
2011-10-26,20997
2011-10-27,22330
2011-10-28,29173
2011-10-29,44787
2011-10-30,88370
2011-10-31,62486
2011-11-01,31725
2011-11-02,28062
2011-11-03,27273
2011-11-04,36010
2011-11-05,40908
2011-11-06,167665
2011-11-07,62381
2011-11-08,30403
2011-11-09,18060
2011-11-10,12716
2011-11-11,8600
2011-11-12,5367
2011-11-13,5491
2011-11-14,7405
2011-11-15,6475
2011-11-16,5808
2011-11-17,5228
2011-11-18,4418
2011-11-19,3143
2011-11-20,3280
2011-11-21,4496
